@relation 'dataset_corrected_only_comments_and_manually_revised_subset_(only comments and class)'

@attribute text STRING
@attribute __directive_class__ {directive,non-directive}

@data
'The package provides a default implementation <tt>_ClassElement_</tt> which completely defines and implements the UI and the control flow for content assist. <br> ',non-directive
'<br> <strong>Deprecated, as of _ClassPathElement_, replaced by Platform UI\'s field assist support</strong> ',directive
' Provides a framework for preferences. <h2> Package Specification</h2> A <b>preference manager</b> (class <tt>_ClassElement_</tt>) maintains a tree of <b>preference nodes</b>. Preferences are presented to the end user in a <b>preference dialog</b> consisting of <b>preference pages</b>. A preference page consists of multiple preference fields, which can be displayed and modified though <b>field editors</b>. The framework contains an abstract base class for preference dialogs (<tt>_ClassElement_</tt>), and an abstract preference page class (<tt>_ClassElement_</tt>) for hosting these field editors. <p>The individual preference values are maintained in a <b>preference store</b> (<tt>IPreferenceStore</tt>). Each preference has a current value and a default value use to (re-)initialize it. The framework provides a concrete preference store implementation (<tt>_ClassElement_</tt>) based on an internal <tt>_ClassPathElement_</tt> object, with support for persisting the non-default preference values to files or streams. <p>A field editor presents the value of a single preference to the end user. The value is loaded from the preference store; if modified by the end user, the value is validated and eventually stored back to the preference store. <p>This package contains ready-to-use field editors for various types of preferences: <ul> <li> <tt>_ClassElement_</tt> - booleans</li>  <li> <tt>_ClassElement_</tt> - integers</li>  <li> <tt>_ClassElement_</tt> - text strings</li>  <li> <tt>_ClassElement_</tt> - enumerations</li>  <li> <tt>_ClassElement_</tt> - RGB colors</li>  <li> <tt>_ClassElement_</tt> - fonts</li>  <li> <tt>_ClassElement_</tt> - directories</li>  <li> <tt>_ClassElement_</tt> - files</li>  <li> <tt>_ClassElement_</tt> - paths</li> </ul> All field editors are subclasses of the abstract base class <tt>_ClassElement_</tt>; the framework allows new kinds of field editors to be defined by subclassing this class or one of its subclasses. <p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
' Provides a framework for preferences. ',non-directive
'<h2> Package Specification</h2> A <b>preference manager</b> (class <tt>_ClassElement_</tt>) maintains a tree of <b>preference nodes</b>. ',non-directive
'Preferences are presented to the end user in a <b>preference dialog</b> consisting of <b>preference pages</b>. ',non-directive
'A preference page consists of multiple preference fields, which can be displayed and modified though <b>field editors</b>. ',non-directive
'The framework contains an abstract base class for preference dialogs (<tt>_ClassElement_</tt>), and an abstract preference page class (<tt>_ClassElement_</tt>) for hosting these field editors. ',non-directive
'<p>The individual preference values are maintained in a <b>preference store</b> (<tt>IPreferenceStore</tt>). ',non-directive
'Each preference has a current value and a default value use to (re-)initialize it. ',non-directive
'The framework provides a concrete preference store implementation (<tt>_ClassElement_</tt>) based on an internal <tt>_ClassPathElement_</tt> object, with support for persisting the non-default preference values to files or streams. ',non-directive
'<p>A field editor presents the value of a single preference to the end user. ',non-directive
'The value is loaded from the preference store; if modified by the end user, the value is validated and eventually stored back to the preference store. ',non-directive
'<p>This package contains ready-to-use field editors for various types of preferences: <ul> ',non-directive
'<li> <tt>_ClassElement_</tt> - booleans</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - integers</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - text strings</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - enumerations</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - RGB colors</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - fonts</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - directories</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - files</li>  ',non-directive
'<li> <tt>_ClassElement_</tt> - paths</li> </ul> ',non-directive
'All field editors are subclasses of the abstract base class <tt>_ClassElement_</tt>; the framework allows new kinds of field editors to be defined by subclassing this class or one of its subclasses. ',directive
'<p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
?,non-directive
' Provides a framework for wizards. <h2> Package Specification</h2> A wizard dialog is a specialized window for walking the end user through a sequence of steps; each step is presented on a separate page. <p>At the most abstract level, the protocol is given by 3 interfaces: <ul> <li> <tt>IWizard</tt> - a wizard consisting of several wizard pages</li>  <li> <tt>IWizardPage</tt> - an individual wizard page</li>  <li> <tt>IWizardContainer</tt> - the outside world from the point of view of a wizard</li> </ul> A wizard is any object implementing <tt>IWizard</tt>. The abstract base class <tt>Wizard</tt> is provided as a starting point; it is simpler to subclass <tt>Wizard</tt> than to implement <tt>IWizard</tt> from scratch. The main responsibility of a <tt>Wizard</tt> subclass is doing the real work when the wizard finishes. <p>Similarly, a wizard page is any object implementing <tt>IWizardPage</tt>. The abstract base class <tt>_ClassElement_</tt> is provided as a starting point. The main responsibility of a <tt>_ClassElement_</tt> subclass is providing the SWT controls and the backing logic for a single wizard page. <p><tt>_ClassElement_</tt> is a ready-to-use JFace dialog that is instantiated with a wizard and acts as the wizard\'s container. This dialog has a standard layout: an area at the top containing the wizard\'s title, description, and image; the actual wizard page appears in the middle; below it is a progress indicator; and at the bottom is an area with a message line and a button bar containing Next, Back, Finish, Cancel, and Help buttons. <p><tt>_ClassElement_</tt>, a special abstract subclass of <tt>_ClassElement_</tt>, allows whole other wizards to be connected to a root page. <p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
' Provides a framework for wizards. ',non-directive
'<h2> Package Specification</h2> A wizard dialog is a specialized window for walking the end user through a sequence of steps; each step is presented on a separate page. ',non-directive
'<p>At the most abstract level, the protocol is given by 3 interfaces: <ul> ',non-directive
'<li> <tt>IWizard</tt> - a wizard consisting of several wizard pages</li>  ',non-directive
'<li> <tt>IWizardPage</tt> - an individual wizard page</li>  ',non-directive
'<li> <tt>IWizardContainer</tt> - the outside world from the point of view of a wizard</li> </ul> ',non-directive
'A wizard is any object implementing <tt>IWizard</tt>. ',non-directive
'The abstract base class <tt>Wizard</tt> is provided as a starting point; it is simpler to subclass <tt>Wizard</tt> than to implement <tt>IWizard</tt> from scratch. ',non-directive
'The main responsibility of a <tt>Wizard</tt> subclass is doing the real work when the wizard finishes. ',directive
'<p>Similarly, a wizard page is any object implementing <tt>IWizardPage</tt>. ',non-directive
'The abstract base class <tt>_ClassElement_</tt> is provided as a starting point. ',non-directive
'The main responsibility of a <tt>_ClassElement_</tt> subclass is providing the SWT controls and the backing logic for a single wizard page. ',directive
'<p><tt>_ClassElement_</tt> is a ready-to-use JFace dialog that is instantiated with a wizard and acts as the wizard\'s container. ',non-directive
'This dialog has a standard layout: an area at the top containing the wizard\'s title, description, and image; the actual wizard page appears in the middle; below it is a progress indicator; and at the bottom is an area with a message line and a button bar containing Next, Back, Finish, Cancel, and Help buttons. ',non-directive
'<p><tt>_ClassElement_</tt>, a special abstract subclass of <tt>_ClassElement_</tt>, allows whole other wizards to be connected to a root page. ',directive
'<p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
?,non-directive
?,non-directive
?,non-directive
' <p> Internal classes and helpers to implement the revision model and its UI presentation. See the <tt><a href=\"_ClassPathElement_\">_ClassPathElement_</a></tt> package for the API classes implementing the revision model. </p> Contains everything needed to: <ul>   <li>paint revision information in the vertical ruler</li>   <li>adapt the revision information to (quick) diff scripts</li> </ul> <p> This package is internal and may be subject to change without notice. </p> ',directive
' <p> Internal classes and helpers to implement the revision model and its UI presentation. ',non-directive
'See the <tt><a href=\"_ClassPathElement_\">_ClassPathElement_</a></tt> package for the API classes implementing the revision model. ',non-directive
'</p> Contains everything needed to: <ul>   ',non-directive
'<li>paint revision information in the vertical ruler</li>   ',non-directive
'<li>adapt the revision information to (quick) diff scripts</li> </ul> ',directive
'<p> This package is internal and may be subject to change without notice. ',directive
'</p> ',non-directive
' This package is a modified copy of <code>_ClassPathElement_</code> that supports the linked mode proposals. This package is internal and may disappear if the changes are merged with the API content assist package. Subject to change without notice. ',directive
' This package is a modified copy of <code>_ClassPathElement_</code> that supports the linked mode proposals. ',non-directive
'This package is internal and may disappear if the changes are merged with the API content assist package. ',directive
'Subject to change without notice. ',non-directive
?,non-directive
?,non-directive
' <p> Internal support classes and helpers for the <tt>_ClassPathElement_</tt> package. ',non-directive
' <p> Internal support classes and helpers for the <tt>_ClassPathElement_</tt> package. ',non-directive
' <p>Provides support for bindings between commands and various user input events (_ClassPathElement_., keyboard shortcuts).</p>  <h2>Package Specification</h2> <p> This package provides the common classes and abstract classes required to provide binding support. </p> <p> All the real work in this package is carried out by the <code>_ClassElement_</code>, and most work with bindings can be carried out directly with it.  The binding manager manages a collection of bindings, and decides which bindings are active at any point in time.  By changes the various properties of the manager, the active bindings will change.  The binding manager implements a caching scheme that is optimized for an infreqeuntly changing set of bindings, but frequently changing properties. </p> <p> The binding manager also manages schemes.  A scheme is a grouping of bindings. To create a scheme, use <code>_ClassPathElement_(String)</code>.  The scheme must then be defined before it can be used. </p> <p> If you wish to implement your own type of binding, then you must subclass <code>Trigger</code> and <code>_ClassElement_</code>.  Then, simply use these subclasses with the <code>_ClassElement_</code>. </p> ',directive
' <p>Provides support for bindings between commands and various user input events (_ClassPathElement_., keyboard shortcuts).</p>  <h2>Package Specification</h2> <p> This package provides the common classes and abstract classes required to provide binding support. ',directive
'</p> <p> All the real work in this package is carried out by the <code>_ClassElement_</code>, and most work with bindings can be carried out directly with it.  ',non-directive
'The binding manager manages a collection of bindings, and decides which bindings are active at any point in time.  ',non-directive
'By changes the various properties of the manager, the active bindings will change.  ',non-directive
'The binding manager implements a caching scheme that is optimized for an infreqeuntly changing set of bindings, but frequently changing properties. ',non-directive
'</p> <p> The binding manager also manages schemes.  ',non-directive
'A scheme is a grouping of bindings. ',non-directive
'To create a scheme, use <code>_ClassPathElement_(String)</code>.  ',non-directive
'The scheme must then be defined before it can be used. ',directive
'</p> <p> If you wish to implement your own type of binding, then you must subclass <code>Trigger</code> and <code>_ClassElement_</code>.  ',directive
'Then, simply use these subclasses with the <code>_ClassElement_</code>. ',non-directive
'</p> ',non-directive
' <p>Provides support for bindings between commands and keys.</p>  <h2>Package Specification</h2> <p> This just a key-specific implementation of the generic bindings and trigger support.  This package provides an abstraction layer between the SWT key events and key bindings within JFace. </p> <p> <code>_ClassElement_</code> is a <code>_ClassElement_</code> that has <code>_ClassElement_</code> instances as triggers.  A <code>_ClassElement_</code> is composed of one or more keys held down at the same time.  A key stroke ends when the keys are released.  A key stroke can contain zero or more modifiers keys, but it always contains exactly one natural key.  A modifier key is one of Ctrl, Shift, Alt, or Command.  A natural key is anything else.</p> <p> Natural keys are further subdivided into special keys and character keys. Character keys are keys that have an ASCII representation (_ClassPathElement_., Space, \'A\' and Backspace).  Special keys are ones that do not (_ClassPathElement_., Arrow Up, F11, and _ClassElement_). </p> <p> <code>SWTKeySupport</code> is a static class that provides the link between SWT and these internal representations.  It has methods for converting between SWT key events and the internal representation, and vice versa.  It also provides access to the native-style key formatting facilities. </p> ',directive
' <p>Provides support for bindings between commands and keys.</p>  <h2>Package Specification</h2> <p> This just a key-specific implementation of the generic bindings and trigger support.  ',directive
'This package provides an abstraction layer between the SWT key events and key bindings within JFace. ',directive
'</p> <p> <code>_ClassElement_</code> is a <code>_ClassElement_</code> that has <code>_ClassElement_</code> instances as triggers.  ',non-directive
'A <code>_ClassElement_</code> is composed of one or more keys held down at the same time.  ',non-directive
'A key stroke ends when the keys are released.  ',non-directive
'A key stroke can contain zero or more modifiers keys, but it always contains exactly one natural key.  ',non-directive
'A modifier key is one of Ctrl, Shift, Alt, or Command.  ',non-directive
'A natural key is anything else.</p> <p> Natural keys are further subdivided into special keys and character keys. ',non-directive
'Character keys are keys that have an ASCII representation (_ClassPathElement_., Space, \'A\' and Backspace).  ',non-directive
'Special keys are ones that do not (_ClassPathElement_., Arrow Up, F11, and _ClassElement_). ',non-directive
'</p> <p> <code>SWTKeySupport</code> is a static class that provides the link between SWT and these internal representations.  ',directive
'It has methods for converting between SWT key events and the internal representation, and vice versa.  ',directive
'It also provides access to the native-style key formatting facilities. ',non-directive
'</p> ',non-directive
' <p>Provides support for formatting key sequences.</p>  <h2>Package Specification</h2> <p> This is a collection fo various formatters for key sequences.  The formatters are accessible through the <code>_ClassElement_</code>.  To change how keys are formatted in the user interface, call <code>_ClassPathElement_(IKeyFormatter)</code>.  They provided formatters are: </p> <dl> <dt>_ClassElement_</dt> <dd>Provides a formal grammar for reading and writing key sequences.</dd> <dt>_ClassElement_</dt> <dd>Provide a native-looking, human-readable format for keys.</dd> <dt>_ClassElement_</dt> <dd>A variation of the native formatter that provides a more compact representation.</dd> <dt>_ClassElement_</dt> <dd>An Xemacs-style formatter (_ClassPathElement_., C^x C^x).</dd> </dl> ',directive
' <p>Provides support for formatting key sequences.</p>  <h2>Package Specification</h2> <p> This is a collection fo various formatters for key sequences.  ',non-directive
'The formatters are accessible through the <code>_ClassElement_</code>.  ',non-directive
'To change how keys are formatted in the user interface, call <code>_ClassPathElement_(IKeyFormatter)</code>.  ',directive
'They provided formatters are: </p> <dl> <dt>_ClassElement_</dt> ',non-directive
'<dd>Provides a formal grammar for reading and writing key sequences.</dd> <dt>_ClassElement_</dt> ',non-directive
'<dd>Provide a native-looking, human-readable format for keys.</dd> <dt>_ClassElement_</dt> ',non-directive
'<dd>A variation of the native formatter that provides a more compact representation.</dd> <dt>_ClassElement_</dt> ',non-directive
'<dd>An Xemacs-style formatter (_ClassPathElement_., C^x C^x).</dd> </dl> ',non-directive
' Provides a framework for viewers, which are model-based content adapters for SWT widgets. <h2> Package Specification</h2> A viewer is a model-based adapter on an SWT widget.&nbsp; Each viewer has four parts: <blockquote> <li> an <b>input</b> - the object that serves as the viewer\'s model</li>  <li> a <b>widget</b> - the SWT control through which the viewer\'s model is displayed</li>  <li> a <b>content provider</b> - mediates between the model and viewer</li>  <li> a <b>label provider</b> - maps model objects to displayable labels containing text _OSPathElement_or an image</li> </blockquote> This package contains the viewer framework. The viewer framework is an independent JFace module. Using it requires a knowledge of SWT, but does not require familiarity with any of the other JFace modules. The framework consists of abstract base classes for viewers (<tt>Viewer</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>) together with concrete viewer classes (<tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, and <tt>_ClassElement_</tt>), and various lesser support classes. The concrete structured viewer classes are ready-to-use and have built-in support for drag-and-drop, filtering (<tt>IViewerFilter</tt> and <tt>_ClassElement_</tt>), and sorting (<tt>IViewerSorter</tt> and <tt>_ClassElement_</tt>); these classes may also be subclassed further if required. <p>In general terms, creating a viewer involves the following steps: <ul> <li> instantiating a viewer on some pre-existing SWT widget,</li>  <li> setting the viewer\'s content provider (an object implementing <tt>IContentProvider</tt>),</li>  <li> setting the viewer\'s label provider (an object implementing <tt>ILabelProvider</tt>),</li>  <li> and, finally, setting the viewer\'s input.</li> </ul> Once a viewer\'s input is set, the viewer becomes active. As the model changes, it is the content provider\'s responsibility to respond to changes to the model by telling the viewer what to change (done by calling add and remove methods on the viewer). An existing viewer may be retargeted by giving it a different object as input; the viewer is responsible for informing the content provider of these kinds of wholesale changes (<tt>_ClassPathElement_</tt>). Also, each viewer registers with its label provider for notification of changes that would affect what the viewer displays (see <tt>_ClassPathElement_</tt>). <p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
' Provides a framework for viewers, which are model-based content adapters for SWT widgets. ',non-directive
'<h2> Package Specification</h2> A viewer is a model-based adapter on an SWT widget.&nbsp; Each viewer has four parts: <blockquote> ',non-directive
'<li> an <b>input</b> - the object that serves as the viewer\'s model</li>  ',non-directive
'<li> a <b>widget</b> - the SWT control through which the viewer\'s model is displayed</li>  ',non-directive
'<li> a <b>content provider</b> - mediates between the model and viewer</li>  ',directive
'<li> a <b>label provider</b> - maps model objects to displayable labels containing text _OSPathElement_or an image</li> </blockquote> This package contains the viewer framework. ',non-directive
'The viewer framework is an independent JFace module. ',non-directive
'Using it requires a knowledge of SWT, but does not require familiarity with any of the other JFace modules. ',directive
'The framework consists of abstract base classes for viewers (<tt>Viewer</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>) together with concrete viewer classes (<tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, <tt>_ClassElement_</tt>, and <tt>_ClassElement_</tt>), and various lesser support classes. ',non-directive
'The concrete structured viewer classes are ready-to-use and have built-in support for drag-and-drop, filtering (<tt>IViewerFilter</tt> and <tt>_ClassElement_</tt>), and sorting (<tt>IViewerSorter</tt> and <tt>_ClassElement_</tt>); these classes may also be subclassed further if required. ',directive
'<p>In general terms, creating a viewer involves the following steps: <ul> ',directive
'<li> instantiating a viewer on some pre-existing SWT widget,</li>  ',non-directive
'<li> setting the viewer\'s content provider (an object implementing <tt>IContentProvider</tt>),</li>  ',non-directive
'<li> setting the viewer\'s label provider (an object implementing <tt>ILabelProvider</tt>),</li>  ',non-directive
'<li> and, finally, setting the viewer\'s input.</li> </ul> ',non-directive
'Once a viewer\'s input is set, the viewer becomes active. ',directive
'As the model changes, it is the content provider\'s responsibility to respond to changes to the model by telling the viewer what to change (done by calling add and remove methods on the viewer). ',directive
'An existing viewer may be retargeted by giving it a different object as input; the viewer is responsible for informing the content provider of these kinds of wholesale changes (<tt>_ClassPathElement_</tt>). ',directive
'Also, each viewer registers with its label provider for notification of changes that would affect what the viewer displays (see <tt>_ClassPathElement_</tt>). ',non-directive
'<p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
?,non-directive
' Provides a framework for viewers that handle deferred contents.  <h2> Package Specification</h2> <p>The deferred viewers are viewers that can handle concurrent updates from a    variety of Threads.<br>   &nbsp;  ',directive
' Provides a framework for viewers that handle deferred contents.  ',non-directive
'<h2> Package Specification</h2> <p>The deferred viewers are viewers that can handle concurrent updates from a    variety of Threads.<br>   &nbsp;  ',directive
?,non-directive
' Provides a general framework for creating and managing windows. <h2> Package Specification</h2> A JFace window is an object that has no visual representation (no widgets) until it is told to open. All JFace windows, including dialogs, are instances of the abstract class <tt>Window</tt> or a subclass. This package contains the base window classes: <tt>Window</tt> itself, which provides support for a basic windows; and <tt>_ClassElement_</tt>, which provides ready-to-use support for a high-level \"main window\" with standard menus, tool bar, and status line. Both of these classes may be subclassed to define additional types of window as required. <p>This package also contains <tt>_ClassElement_</tt>, instance of which are used for managing a group of windows. Window managers are useful in applications which create many different windows (dialogs, wizards, etc.) in addition to a main window. Window managers are not required for simple applications. <p>The only global state maintained by classes in this package is a default image for window title bars (<tt>_ClassPathElement_</tt>). ',directive
' Provides a general framework for creating and managing windows. ',non-directive
'<h2> Package Specification</h2> A JFace window is an object that has no visual representation (no widgets) until it is told to open. ',non-directive
'All JFace windows, including dialogs, are instances of the abstract class <tt>Window</tt> or a subclass. ',directive
'This package contains the base window classes: <tt>Window</tt> itself, which provides support for a basic windows; and <tt>_ClassElement_</tt>, which provides ready-to-use support for a high-level \"main window\" with standard menus, tool bar, and status line. ',non-directive
'Both of these classes may be subclassed to define additional types of window as required. ',directive
'<p>This package also contains <tt>_ClassElement_</tt>, instance of which are used for managing a group of windows. ',non-directive
'Window managers are useful in applications which create many different windows (dialogs, wizards, etc.) in addition to a main window. ',directive
'Window managers are not required for simple applications. ',directive
'<p>The only global state maintained by classes in this package is a default image for window title bars (<tt>_ClassPathElement_</tt>). ',directive
' Provides support for trim specification.  <h2> Package Specification</h2> <p> This package provides classes for trim widgets. ',non-directive
' Provides support for trim specification.  ',non-directive
'<h2> Package Specification</h2> <p> This package provides classes for trim widgets. ',non-directive
?,non-directive
?,non-directive
' Provides a revision model and a protocol to display revision information in a vertical ruler column. <h2>Package Specification</h2> <tt>IRevisionRulerColumn</tt> is the protocol that a team provider can use to display line based revision control information to a document. <tt>_ClassElement_</tt> defines the revision model, which contains a list of <tt>Revision</tt>s, which in turn contain <tt>_ClassElement_</tt>s. ',non-directive
' Provides a revision model and a protocol to display revision information in a vertical ruler column. ',non-directive
'<h2>Package Specification</h2> <tt>IRevisionRulerColumn</tt> is the protocol that a team provider can use to display line based revision control information to a document. ',non-directive
'<tt>_ClassElement_</tt> defines the revision model, which contains a list of <tt>Revision</tt>s, which in turn contain <tt>_ClassElement_</tt>s. ',non-directive
' Provides a reconciler add-on for an <tt>ITextViewer</tt>. A&nbsp; reconciler provides generic synchronization support&nbsp; with the content of the document serving as the <tt>ITextViewer</tt>\'s input. There is no explicit model of what is synchronized. <h2> Package Specification</h2> <tt>IReconciler</tt> defines the concept of a reconciler. It collaborates with content type specific reconciling strategies (<tt>IReconcilingStrategy</tt>) which perform the synchronization for a given dirty region. The package contains a default implementation of <tt>IReconciler</tt> (<tt>Reconciler</tt>).  <tt>Reconciler</tt> and <tt>_ClassElement_</tt> implements reconciling as a periodic background activity and folds co-located changes while being inactive. ',directive
